location_name,operated_by,website,phone,Marked accessible by ODS,In GTA?,Assigned,Status,Contact email,Contact phone,Questions,Wheelchair-accessible entrance,Portable ramp at entrance,Automatic doors,Wheelchair-accessible bathrooms,Disability-sensitivity training,Information available in braille or audio,Personalized or individual service is offered,Accessible parking,Queue accomodations,Marked accessible by ODS,In GTA?,Assigned,Status,Contact email,Contact phone,Questions,Wheelchair-accessible entrance,Portable ramp at entrance,Automatic doors,Wheelchair-accessible bathrooms,Disability-sensitivity training,Information available in braille or audio,Personalized or individual service is offered,Accessible parking,Queue accomodations,saturday,sunday,age_threshold,french_language_services,asl_interpretation,paid_parking,public_transit,additional_information,additional_information_fr,first_nations,free_parking,weeks_pregnant,general_population,holiday_hours,email,temporarily_closed
Akwesasne COVID-19 Assessment Centre,Mohawk Council of Akwesasne Department of Health,http://www.akwesasne.ca/covid-19-novel-coronavirus-information/,613-575-5005 ext. 3704 or 613-575-2331 ext. 3702,Yes,No,,,,,,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,2y,,,,,,,Akwesasronon,,,No,,,
North Hastings COVID-19 Assessment Center,Quinte Healthcare Corporation,,613-332-2825 ext 6222,Yes,No,,,,,,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,0m,Yes,No,,No,"Follow the signs, drive through into the tent, have those being assessed or tested on the driver's side of the vehicle if possible, park and turn off the car with the windows between the two tables under the tent. Phone or text your phone number to us and we will call you back to book a time. You must have an appointment so we can ensure patient safety, confidentiality and physical distancing.",,,Yes,,,,,
Perth and Smiths Falls District Hospital - Smiths Falls Site,Perth and Smiths Falls District Hospital,https://psfdh.on.ca/2020/04/03/community-assessment-centre/,613-283-2330 ext. 1401,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,10:00-16:00,10:00-16:00,0m,,,,,Located at the Smiths Falls site of the Perth and Smiths Falls District Hospital at the main entrance on Elmsley Street North. Drive up to the main entrance and stay in your car while an in-car assessment is done.,Situé à l’emplacement de Smiths Falls de l’Hôpital du district de Perth et de Smiths Falls à l’entrée principale sur la rue Elmsley Nord. Les patients conduiront leur véhicule jusqu’à l’entrée principale et y demeureront pendant qu’une évaluation sera réalisée.,,,,,10:00-16:00,,
Prince Edward County Community Centre,Prince Edward County Covid-19 Assessment Centre,https://hpepublichealth.ca/the-novel-coronavirus-2019ncov/,613-813-6864,Yes,No,,,,,,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,0m,No,No,,No,You will be directed to drive into the large tent. Stay in your car for the assessment.,On vous dirigera dans la grande tente à bord votre véhicule et vous y resterez pour l’évaluation.,,Yes,,,,,
Queensway Carleton Hospital - D. Aubrey Moodie School,Queensway Carleton Hospital,https://www.ottawapublichealth.ca/en/shared-content/assessment-centres.aspx,,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,2y,Yes,,,,,,,,,,9:00-15:30,,
Quinte Healthcare - Quinte Secondary School,Quinte Healthcare,https://hpepublichealth.ca/the-novel-coronavirus-2019ncov/,613-961-5544,Yes,No,,,,,,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,9:00-17:00,9:00-17:00,0m,Yes,No,,No,Stay in your car.,On vous demandera de rester dans votre voiture.,,Yes,,,,,
Quinte West COVID-19 Assessment Centre,Quinte Healthcare,https://hpepublichealth.ca/the-novel-coronavirus-2019ncov/,613-961-5544,Yes,No,,,,,,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,9:00-17:00,9:00-17:00,0m,Yes,No,,No,"Follow the signs, drive through into the tent, have those being assessed or tested on the driver's side of the vehicle if possible, park and turn off the car with the windows between the two tables under the tent. Phone or text your phone number to us and we will call you back to book a time. You must have an appointment so we can ensure patient safety, confidentiality and physical distancing.",,,Yes,,,,,
Cobden Arena,Arnprior Regional Health,https://rcvtac.ca/,1-844-727-6404,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,2y,No,No,,No,We do not have a physical site for testing - we do it through drive through testing sites or we go on site in various locations to do testing (ie retirement homes) as needed.  To date our approach to testing has proven to be very efficient and effective.,,,,,,,,Yes
Civic Centre,Arnprior Regional Health,https://rcvtac.ca/,1-844-727-6404,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
Pembroke Assessment Centre,Arnprior Regional Health,https://rcvtac.ca/,1-844-727-6404,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deep River Arena,Arnprior Regional Health,https://rcvtac.ca/,1-844-727-6404,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,No restrictions. Two areas of focus - patients without a family physiciann or cannot reach their family physician and those with potential COVID.,,,,,,,,
Nick Smith Centre / Renfrew County Virtual Triage and Assessment Centre,Arnprior Regional Health,https://rcvtac.ca/,1-844-727-6404,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,The hours for this center vary. Please visit the centre's website for current hours.,,,,,,,,
Eganville Community Arena,Arnprior Regional Health,https://rcvtac.ca/,1-844-727-6404,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ma-te-way Park,Arnprior Regional Health,https://rcvtac.ca/,1-844-727-6404,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul J Yakabuski Community Centre / Renfrew County Virtual Triage and Assessment Centre,Arnprior Regional Health,https://rcvtac.ca/,1-844-727-6404,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
RMH COVID-19 Assessment Centre,Ross Memorial Hospital,https://www.rmh.org/covid-19,705-328-6217,Yes,No,,,,,,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,12y,No,No,Yes,Yes,"Use the Kent Street entrance. For children under 12, use the Emergency Department.",,,,,,,,
Trent Hills COVID19 Assessment Centre,Trent Hills Family Health Team + Northumberland County Ambulance & Paramedic Services,https://www.thfht.com/wp-content/uploads/2020/05/PRESS-RELEASE-May-25-2020-AC-Final.pdf,705-395-1801,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,6m,No,No,,No,Single entrance in stand-alone building. Clients must wait in their cars until staff come out to provide a registration form and check ID. Clients must wear masks and come alone if possible.,,,Yes,,,,,
Winchester COVID-19 Assessment Centre,Lions Club Hall,https://eohu.ca/en/covid/covid-19-testing-assessment-centres,1-800-267-7120,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kinsmen Civic Centre,Peterborough Public Health,https://www.peterboroughpublichealth.ca/your-health/diseases-infections-immunization/diseases-and-infections/novel-coronavirus-2019-ncov/#tested,705-743-1000,Yes,No,,,,,,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COVID-19 Assessment Centre at PRHC,Peterborough Regional Health Centre,https://www.prhc.on.ca/articles/default-category/207/covid-19-assessment-centre-at-prhc-now-available-by-calling-directly,705-876-5086,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,8:00-16:00,8:00-16:00,1y,No,No,,Yes,Located in the mobile unit on the west side of the hospital.,Situé dans l'unité mobile du côté ouest de l’hôpital.,,Yes,,,,,
Northumberland Hills Hospital,Northumberland Hills Hospital,,905-377-7783,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,8:00-16:00,8:00-16:00,1y,Yes,Yes,Yes,Yes,Covid Clinic and ER share the same entrance. Covid clinic patients exit through a separate door. Patients are asked to wear a mask during their visit and are given a HKPR Public Health information sheet before they leave. All under that age of 12 are seen in ER for assessment and swabbing. The clinic will look up and report negative results to patients that are unable to retrieve results on their own.,,,,,,Closed,,
Atikokan Family Health Team,Atikokan Family Health Team,https://atikokanfht.com/,807-597-8781 ext 0,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,0m,No,No,,Yes,Located at the side entrance under the canopy. Stay in your car.  You will be directed into the accessible building if you need an in-person assessment.,,,Yes,,,,,
Hearst COVID-19 Assessment Centre,Nord-Aski Family Health Team,http://www.porcupinehu.on.ca/en/your-health/infectious-diseases/novel-coronavirus/covid-assessment-centres/,705-362-5544,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,2y,Yes,No,,Yes,Located on the east side of the medical clinic in the parking lot. Call the assessment centre for an appointment if you do not have symptoms. Call your local public health unit or family doctor if you have symptoms.,,,Yes,,,,,
Chapleau Health Services,Chapleau Family Health Team,https://www.sschs.ca/general/home.html,705-864-2568,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,0m,Yes,No,,Yes,Directions are provided during appointment booking.,,,Yes,,,,,
NEOMO Medical,NEOMO Medical,https://www.hsnsudbury.ca/portalen/Patients-and-Visitors/COVID-19/COVID-19-Assessment-Centre,705-671-7373,Yes,No,,,,,,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,8:00-16:00,8:00-16:00,0m,Yes,No,,No,Book your appointment online. Directions are provided during appointment booking.,,,Yes,,,,,
Primacy Medical Centre,Primacy Medical Centre,https://www.hsnsudbury.ca/portalen/Patients-and-Visitors/COVID-19/COVID-19-Assessment-Centre,705-671-7373,Yes,No,,,,,,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,11:00-19:00,11:00-19:00,6m,Yes,No,,Yes,"Located in the parking lot of the Superstore, beside the pharmacy.",Situé dans le stationnement du Superstore.,,Yes,,,,,
Health Sciences North - HSNRI Assessment Centre,Health Sciences North,https://www.hsnsudbury.ca/portalen/Patients-and-Visitors/COVID-19/COVID-19-Assessment-Centre,705-671-7373,Yes,No,,,,,,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,9:00-17:00,9:00-17:00,2y,Yes,,,,,,,Yes,,,,,
Dingwall Medical Clinic Building,Dingwall Medical Clinic Building,http://www.drhc.on.ca/dryden-regional-health-centre-opens/,1-807-223-3737,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,6m,No,No,Yes,No,Instructions provided when you book your appointment. Use first exterior entrance on the left (old Hearing Centre). Entrance is marked with fluorescent yellow sign.,La première entrée extérieure à gauche (ancien centre d’audiologie).,,,,,,assess@drhc.on.ca.,
Elliot Lake Family Health Team,Elliot Lake Family Health Team,http://www.elfht.com/,705-461-8882,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Englehart District Hospital,Englehart District Hospital,http://www.timiskaminghu.com/90484/covid-19,705-568-2127,Yes,No,,,,,,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,Drive-through at the rear entrance of the building.,Service à l’auto à l’entrée arrière du bâtiment.,,,,,,,
Espanola & Area COVID Mobile Assessment Centre,Espanola Regional Hospital and Health Centre,http://www.espanolaregionalhospital.ca/covid-19,705-869-1420 ext. 4500,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,0m,Yes,No,,No,Drive-through only.,,,Yes,,,,,
Geraldton District Hospital / Greenstone Family Health Team Northern Horizon Health Centre,Geraldton District Hospital,http://www.geraldtondh.com/hospital-triage-area---covid-19,807-854-0224,Yes,No,,,,,,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,Wait in your car in the designated parking spot.,Les patients doivent attendre dans leur véhicule à l’endroit désigné dans le stationnement.,,,,,,,
Hornepayne Community Hospital,Hornepayne Community Hospital,https://www.porcupinehu.on.ca/en/your-health/infectious-diseases/novel-coronavirus/covid-assessment-centres/,807-868-2442,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,Located at the front entrance. Someone will meet you at the door.,Situé à l’entrée avant. Quelqu’un viendra vous chercher à la porte.,,,,,,,
Michipicoten Memorial Community Centre,Lady Dunn Health Centre,http://www.algomapublichealth.com/disease-and-illness/infectious-diseases/novel-coronavirus/#assessment,705-856-2244 ext. 244,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake of the Woods District Hospital,Lake of the Woods District Hospital,http://www.lwdh.on.ca/,1-807-468-9861 ext 2483,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,0m,No,No,,Yes,"Turn onto Nethercutt Drive, turn right onto Wolsley Avenue, and take your first left into the old ambulance garage parking lot (attached to the power plant and laundry facilities).","Tournez sur la promenade Nethercutt, tournez à droite sur l’avenue Wolsley, puis tournez à gauche dans le stationnement de l’ancien garage des ambulances (il est annexé à la centrale électrique et à la buanderie).",,,,,,,
Community Health Services Building,LaVerendrye General Hospital and  Riverside Health Care,https://www.riversidehealthcare.ca/,1-807-274-3261 ext 4913,Yes,No,,,,,,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,As needed,As needed,,,,,,,,,,,,,,
Manitoulin Health Centre,Manitoulin Health Centre,http://www.mhc.on.ca/covid-19,705-368-2300,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,13:00-17:00,13:00-17:00,2y,No,No,,No,In the parking lot of the emergency entrance.,,,Yes,,,,,
Manitoulin Health Centre,Manitoulin Health Centre,http://www.mhc.on.ca/covid-19,705-368-2300,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,13:00-17:00,13:00-17:00,2y,No,No,,No,In the garage behind the emergency department.,,,Yes,,,,,
Mattawa Hospital,Mattawa Hospital,https://www.mattawahealth.ca/News/mattawa-assessment-centre,705-744-5511 ext 0,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,0m,Yes,Yes,,Yes,There is a separate entrance.,,,Yes,,,,,
Anson General Hospital site,MICs Group - Anson General Hospital site,https://www.porcupinehu.on.ca/en/your-health/infectious-diseases/novel-coronavirus/covid-assessment-centres/,1-888-962-8718,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Lady Minto Hospital/Boy Scout Hall,MICs Group - The Lady Minto Hospital/Boy Scout Hall,https://www.porcupinehu.on.ca/en/your-health/infectious-diseases/novel-coronavirus/covid-assessment-centres/,1-888-962-8718,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nipigon District Memorial Hospital,Nipigon District Memorial Hospital,https://www.tbdhu.com/coronavirus,807-887-5252,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Bay Regional Health Centre,North Bay Regional Health Centre,,705-474-8600 ext 4110,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,9:00-17:00,9:00-17:00,0m,Yes,No,,Yes,"There is a separate entrance for COVID-19 testing. Individuals presenting for testing are requested to don a new face mask (provided by the testing centre) requested to clean hands, be seated and remain seated until called into the centre for testing.",,,Yes,,,,,
North of Superior Health Group - Marathon (Wilson site),North of Superior Health Group - Marathon (Wilson site),https://www.tbdhu.com/coronavirus,807-625-5900 or 1-888-294-6630,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,0m,Yes,No,,Yes,Use main entrance.,,Biigtigong,Yes,,Yes,,,
North Shore Health Network - Blind River,North Shore Health Network - Blind River,http://www.algomapublichealth.com/disease-and-illness/infectious-diseases/novel-coronavirus/#assessment,705-356-2265 ext. 2661,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,8:00-18:00,8:00-18:00,8y,Yes,No,,No,Located in the trailer beside the Emergency Department. Specific directions and instructions are provided by email or over the phone.,Situé dans la roulotte à côté du service des urgences.,,Yes,,,,,
North Shore Health Network - Thessalon,North Shore Health Network - Thessalon,http://www.algomapublichealth.com/disease-and-illness/infectious-diseases/novel-coronavirus/#assessment,705-356-2265 ext. 2662,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,8y,Yes,No,,No,Specific directions and instructions are provided by email or over the phone.,,,Yes,,,,,
Rainy River Health Centre,Riverside Health Care,https://www.riversidehealthcare.ca/,1-807-274-3261 ext. 4913,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,13:00-15:00,13:00-15:00,0m,No,No,,Yes,Located across the street from the hospital. Individuals receive directions and instructions upon calling to book an appointment.,Situé en face de l’hôpital.,,Yes,,,,,
Red Lake Guardian Pharmacy,Red Lake Hospital,https://www.nwhu.on.ca/covid19/Pages/self-assessment.aspx,1-807-727-7035,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,0m,Yes,No,,Yes,"Located across the street from the hospital, at the downstairs entrance.","Situé en face de l’hôpital, à l’entrée de l’étage inférieur.",,Yes,,,,,
Santé Manitouwadge Health,Santé Manitouwadge Health,https://www.nwhu.on.ca/covid19/Pages/self-assessment.aspx,807-826-3251 ext 221,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,8:00-19:00,8:00-19:00,0m,Yes,No,No,Yes,Entrance is through the ambulance bay at the back of the hospital.,L’entrée se fait par le stationnement pour les ambulances à l’arrière de l’hôpital.,,No,,,,,
Sault Area Hospital / Kal Tire,Sault Area Hospital,http://www.algomapublichealth.com/disease-and-illness/infectious-diseases/novel-coronavirus/#assessment,705-759-3434 ext 7152,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,8:00-20:00,8:00-20:00,13y,Yes,Yes,,Yes,"Located 1 km away from Sault Area Hospital. Second building on the right after turning onto Drive In Road. For in-car testing, park in the designated space and honk to notify staff of arrival.",Situé à 1 km de l’Hôpital de Sault-Sainte-Marie. Deuxième bâtiment à droite après avoir tourné sur le chemin Drive In.,,Yes,,,,,
Sensenbrenner Hospital / Le Centre des Loisirs,Sensenbrenner Hospital,https://www.porcupinehu.on.ca/en/your-health/infectious-diseases/novel-coronavirus/covid-assessment-centres/,705-367-4613,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,0m,Yes,No,,No,,,,Yes,,,,,
Meno Ya Win Health Centre,Sioux Lookout Meno Ya Win Health Centre,https://www.nwhu.on.ca/covid19/Pages/self-assessment.aspx,1-807-737-5880,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,0m,Yes,No,,Yes,Located in the front parking lot of the hospital. A nurse will come outside to provide instructions. Stay in your car at all times.,Situé dans le stationnement avant de l’hôpital.,,Yes,,,,,
Smooth Rock Falls Hospital,Smooth Rock Falls Hospital,https://www.porcupinehu.on.ca/en/your-health/infectious-diseases/novel-coronavirus/covid-assessment-centres/,705-338-2788,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,2y,Yes,No,,Yes,Located in the garage attached to the hospital. A nurse will come outside to do the swab. Stay in your car at all times.,Situé dans le garage annexé à l’hôpital. Une infirmière viendra à l’extérieur prélever l’écouvillon. Les patients doivent rester en tout temps dans leur véhicule pour subir le test.,,Yes,,Yes,,,
Superior North EMS Community Paramedicine Program,Superior North EMS,https://www.tbdhu.com/coronavirus,807-935-8100,Yes,No,,,,,,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,7:00-19:00,7:00-19:00,0m,,,No,No,Mobile clinics and home visits. No in-centre testing. Drive through testing for surge capacity only.,,,No,,,,,
Temiskaming Hospital,Temiskaming Hospital,,705-648-1844,Yes,No,,,,,,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,10:00-12:00,2y,Yes,No,,Yes,"Located at the north entrance (back of the hospital). Do not use the front entrance. For after hours, call hospital in advance for instructions. No walk-ins at emergency department.",Situé à l’entrée nord (à l’arrière de l’hôpital). Les patients ne doivent pas utiliser l’entrée avant.,,Yes,,Yes,,,
Thunder Bay Assessment Centre,Thunder Bay Regional Health Sciences Centre,https://www.tbdhu.com/coronavirus,807-935-8100,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,8:00-20:00,8:00-20:00,13y,Yes,No,,Yes,Located outside the emergency department entrance. Check in with the nurse at the ambulance outside of the emergency department.,,,Yes,,,,,
Timmins COVID-19 Assessment Centre,Timmins and District Hospital,https://www.porcupinehu.on.ca/en/your-health/infectious-diseases/novel-coronavirus/covid-assessment-centres/,705-267-1993,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,8:30-12:00,,,,,,,Call to schedule an appointment. No walk-ins at the Emergency Department.,,,,,,,,
"Weeneebayko General Hospital, Moose Factory",Weeneebayko Area Health Authority,https://www.waha.ca/covid-19/,1-877-658-9242,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,2y,No,No,,No,Separate entrance,,Moose Cree First Nations,Yes,,Yes,,,
Fort Albany Hospital,Weeneebayko Area Health Authority,https://www.waha.ca/covid-19/,705-336-2294 ext. 326,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attawapiskat Hospital,Weeneebayko Area Health Authority,https://www.waha.ca/covid-19/,705-336-2294 ext. 326,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moosonee Health Centre,Weeneebayko Area Health Authority,https://www.waha.ca/covid-19/,705-336-2294 ext. 326,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kashechewan Health Services,Weeneebayko Area Health Authority,https://www.waha.ca/covid-19/,705-336-2294 ext. 326,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peawanuck Nursing Station,Weeneebayko Area Health Authority,https://www.waha.ca/covid-19/,705-336-2294 ext. 326,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Nipissing General Hospital,West Nipissing General Hospital,https://www.myhealthunit.ca/en/health-topics/coronavirus.asp,705-580-2186,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,Located at Marcel Noel Hall - West Nipissing Complex.,Situé à la Salle communautaire Marcel Noël — complexe Nipissing Ouest.,,,,,,,
West Parry Sound Health Centre,West Parry Sound Health Centre,https://www.myhealthunit.ca/en/health-topics/coronavirus.asp,705-746-4540 ext 5030,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,8:00-16:00,8:00-16:00,6m,No,No,,Yes,"Located at the Parry Sound Mall, Unit 105 and 106. All patients must call for an appointment.  Please arrive at the back of the building and ring the door bell.  You may return to your car or step back 2 meters from the door and await a staff member to bring you in.","Situé dans le centre commercial de Parry Sound, locaux 105 et 106.",,Yes,,,,,
"North of Superior Health Group - McCausland, Terrace Bay","North of Superior Health Group - McCausland, Terrace Bay",,807-825-3235,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twin Bridges Nurse Practitioner Clinic,Bluewater Health Sarnia,https://lambtonpublichealth.ca/2019-novel-coronavirus/testing-criteria/,226-776-9030,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,Use the D-wing entrance point.,L’entrée se fait au point d’entrée de l’aile D.,,,,,,,
Brant Community Healthcare System,Brant Community Healthcare System,,519-751-5818,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,8:00-16:00,8:00-16:00,0m,No,No,,Yes,Enter at the D-wing entrance. Walk-ins are accepted but appointments are preferred.,,,Yes,,,,,
Cambridge Assessment Centre,Cambridge Memorial Hospital,,519-621-2333 ext 2689,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,8:30-16:30,8:30-16:30,1y,No,No,,Yes,Park in Lot 4 in front of C-wing (there are also 3 designated spots across from the centre's door). Drive-through only when demand is very high (except if you use a mobility device) for asymptomatic patients only.  Services are offered in French upon request.,Utilisez le stationnement 4 devant l’aile C. Il y a aussi 3 places désignées en face de la porte du centre.,,Yes,,,8:30-16:30,cmhcovidtesting@cmh.org,
Chatham-Kent Health Alliance,Chatham-Kent Health Alliance,,519-352-6400 ext. 6548,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,9:00-16:20,9:00-16:20,0m,,,,,,,,,,,,,
Erie Shores Healthcare,Erie Shores Healthcare,,519-326-2373 ext. 4263,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,8:00-18:00,8:00-18:00,1y,No,No,Yes,No,Blue assessment centre signage directs persons to spearate entrance. Spanish speaking intepreter will be joining the team in the near future.,,,,,,,,
Goderich Columbus Banquet Hall,"Maitland Valley Family Health Team, Alexandra Marine and General Hospital, Huron Perth Public Health",https://www.hpph.ca/en/news/coronavirus-covid19-update.aspx#Testing-tracing-and-results-for-COVID-19,519 524 6060 ext. 263,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,0m,No,No,,No,Stay in your car and drive up to the underpass. Do not leave your car.,Situé dans la salle des Chevaliers de Colomb.,,Yes,,,Closed,,Yes
Grand River Hospital COVID-19 Testing Centre,Grand River Hospital,https://www.smgh.ca/covid-19-testing-available-for-k-w-residents-with-symptoms-starting-may-16/,519-749-4300 ext. 6824,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,7:30-18:30,7:30-18:30,,,,,,Permanently closed,,,,,,,,Yes
Grand River Hospital - Drive Thru COVID-19 Assessment Center,Grand River Hospital - Drive Thru COVID-19 Assessment Center,,,Yes,No,,,,,,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,7:30-17:30,7:30-17:30,2y,No,No,,Yes,Bring your health card if you have one.,,,Yes,,,,,
Grey Bruce Health Services - Owen Sound,Grey Bruce Health Services - Owen Sound,https://www.gbhs.on.ca/covid-19/,519-378-1466,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,6m,Yes,Yes,,Yes,Located in the portable facility outside the entrance of the Owen Sound Hospital Emergency Department.,Situé dans la installation mobile juste à l’extérieur de l’entrée du service des urgences du Owen Sound Hospital.,,Yes,,,,,
Guelph General Hospital / Victoria Road Recreation Centre,Guelph General Hospital,https://www.wdgpublichealth.ca/your-health/covid-19-information-public/assessment-centres-wdg,,,No,Philip,Sent email through contact form,,,,,,,,,,,,,,No,Philip,Sent email through contact form,,,,,,,,,,,,,9:00-16:00,9:00-16:00,,,,,,"Located in the Victoria Road Recreation Centre (south of Eastview Road, north of Grange Road).","Situé dans Victoria Road Recreation Centre (au sud du chemin Eastview, au nord du chemin Grange).",,,,,9:00-16:00,,
Dave Andreychuk Mountain Arena Assessment Centre,Hamilton Family Health Team,https://www.hamilton.ca/coronavirus/assessment-centres,905-974-9848,Yes,No,,,,,,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,10:00-16:00,10:00-16:00,4y,No,No,,Yes,,,,Yes,,,Closed,,
Hamilton Health Sciences,Hamilton Health Sciences,https://www.hamilton.ca/coronavirus/assessment-centres,905-974-9848,,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,9:00-17:00,11:00-17:00,,,,,,,,,,,,9:00-17:00,,
Hanover and District Hospital,Hanover and District Hospital,https://www.sbghc.on.ca/coronavirus/assessment-centres,,Yes,No,,,,,,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,0m,Yes,Yes,,Yes,There is a separate entrance and further instructions provided upon arrival.,"Situé dans la tente à l’avant de l’hôpital, sous le toit-abri de l’entrée principale. Les patients demeureront dans leurs voitures.",,Yes,,,Closed,,
Joseph Brant Hospital,Joseph Brant Hospital,https://www.halton.ca/For-Residents/New-Coronavirus#03,"905-632-3737, ext. 6550",,No,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,8:00-19:00,8:00-19:00,1y,Yes,Yes,,Yes,"separate enterance, await in car until called to come to clinic. Drive thru clients remain in car",,,Yes,,,Closed,,
